time	ensayo	nombre	x	y	angulo
1558640898798	0	HA1	0	0	90
1558640901840	0	HA1	0	0	45
1558640903691	0	HA1	0	0	0
1558640906626	0	HA1	0	0	315
1558640909442	0	HA1	0	0	270
1558640912423	0	HA1	0	0	225
1558640914778	0	HA1	0	0	180
1558640917133	0	HA1	0	0	135
1558640919310	0	HA1	-0.1	-0.1	135
1558640922067	0	HA1	-0.1	-0.1	180
1558640924287	0	HA1	-0.1	-0.1	225
1558640926581	0	HA1	-0.1	-0.1	270
1558640929604	0	HA1	-0.1	-0.1	315
1558640933280	0	HA1	-0.1	-0.1	0
1558640936202	0	HA1	-0.1	-0.1	45
1558640939209	0	HA1	-0.1	-0.1	90
1558640941484	0	HA1	-0.1	-0.2	90
1558640944596	0	HA1	-0.1	-0.2	45
1558640947611	0	HA1	-0.1	-0.2	0
1558640950597	0	HA1	-0.1	-0.2	315
1558640952775	0	HA1	-0.1	-0.2	270
1558640955691	0	HA1	-0.1	-0.2	225
1558640957924	0	HA1	-0.1	-0.2	180
1558640960929	0	HA1	-0.1	-0.2	135
1558640963648	0	HA1	-0.2	-0.3	135
1558640965881	0	HA1	-0.2	-0.3	90
1558640968028	0	HA1	-0.2	-0.3	45
1558640970265	0	HA1	-0.2	-0.3	0
1558640972421	0	HA1	-0.2	-0.3	315
1558640975527	0	HA1	-0.2	-0.3	270
1558640977845	0	HA1	-0.2	-0.3	225
1558640980943	0	HA1	-0.2	-0.3	180
1558640983991	0	HA1	-0.2	-0.3	225
1558640987192	0	HA1	-0.3	-0.2	225
1558640989781	0	HA1	-0.3	-0.2	270
1558640993148	0	HA1	-0.3	-0.2	315
1558640996221	0	HA1	-0.3	-0.2	0
1558640998702	0	HA1	-0.3	-0.2	45
1558641001812	0	HA1	-0.3	-0.2	90
1558641004765	0	HA1	-0.3	-0.2	45
1558641007925	0	HA1	-0.2	-0.3	45
1558641010248	0	HA1	-0.1	-0.4	45
1558641013476	0	HA1	-0.1	-0.4	315
1558641015997	0	HA1	-0.1	-0.4	270
1558641018531	0	HA1	-0.1	-0.4	225
1558641021679	0	HA1	-0.2	-0.3	225
1558641024068	0	HA1	-0.2	-0.3	270
1558641026407	0	HA1	-0.2	-0.3	315
1558641028639	0	HA1	-0.1	-0.2	315
1558641031008	0	HA1	-0	-0.1	315
1558641033246	0	HA1	-0	-0.1	0
1558641035632	0	HA1	-0	-0.1	45
1558641038128	0	HA1	-0	-0.1	90
1558641040480	0	HA1	-0	-0.1	135
1558641043414	0	HA1	-0	-0.1	180
1558641045446	0	HA1	-0	-0.1	225
1558641047627	0	HA1	-0	-0.1	270
1558641049769	0	HA1	-0	-0	270
1558641051976	0	HA1	-0	0.1	270
1558641055314	0	HA1	-0	0.1	315
1558641058730	0	HA1	-0	0.1	0
1558641061315	0	HA1	-0	0.1	45
1558641063816	0	HA1	-0	0.1	90
1558641065966	0	HA1	-0	0.1	135
1558641068471	0	HA1	-0	0.1	180
1558641070574	0	HA1	-0	0.1	225
1558641073101	0	HA1	-0.1	0.2	225
1558641077792	0	HA1	-0.1	0.2	180
1558641080131	0	HA1	-0.1	0.2	135
1558641082963	0	HA1	-0.1	0.2	90
1558641085200	0	HA1	-0.1	0.2	45
1558641087670	0	HA1	-0.1	0.2	0
1558641089861	0	HA1	-0.1	0.2	315
1558641092312	0	HA1	-0.1	0.2	270
1558641094545	0	HA1	-0.1	0.3	270
1558641096963	0	HA1	-0.1	0.3	315
1558641098898	0	HA1	-0.1	0.3	0
1558641101401	0	HA1	-0.1	0.3	45
1558641104974	0	HA1	-0.1	0.3	90
1558641108671	0	HA1	-0.1	0.3	135
1558641112044	0	HA1	-0.1	0.3	180
1558641114508	0	HA1	-0.1	0.3	225
1558641116765	0	HA1	-0.2	0.4	225
1558641119022	0	HA1	-0.2	0.4	135
1558641121465	0	HA1	-0.2	0.4	90
1558641123915	0	HA1	-0.2	0.4	45
1558641138578	0	HA1	0	0.5	90
