time	ensayo	nombre	x	y	angulo
1589550253180	0	HA1	0	0	90
1589550258464	0	HA1	0	0	135
1589550260687	0	HA1	0	0	180
1589550262327	0	HA1	0	0	225
1589550263880	0	HA1	0	0	270
1589550267219	0	HA1	0	0	315
1589550270063	0	HA1	0	0	0
1589550272264	0	HA1	0	0	45
1589550274514	0	HA1	0.1	-0.1	45
1589550276902	0	HA1	0.1	-0.1	90
1589550280651	0	HA1	0.1	-0.1	135
1589550283687	0	HA1	0.1	-0.1	180
1589550285417	0	HA1	0.1	-0.1	225
1589550287100	0	HA1	0.1	-0.1	270
1589550289598	0	HA1	0.1	-0.1	315
1589550292052	0	HA1	0.1	-0.1	0
1589550294213	0	HA1	0.2	-0.1	0
